Datum,Transaktion,Kategori,Belopp,Saldo
2016-08-31,Omsättning lån 3065 82 24190,,"-3.402,00","22.131,55"
2016-08-31,Kortköp 160829 ICA SUPERMARKET BROM,,"-365,09","25.533,55"
2016-08-31,Kortköp 160829 SKILLCAPPED,,"-42,77","25.898,64"
2016-08-31,Betalning PG 4176103-2 Fastum,,"-2.835,00","25.941,41"
2016-08-31,Autogiro BAHNHOF,,"-1.147,00","28.776,41"
2016-08-31,Autogiro FOLKSAM,,"-318,00","29.923,41"
2016-08-30,Kortköp 160828 ICA SUPERMARKET BROM,,"-290,64","30.241,41"
2016-08-30,Autogiro SBAB,,"-1.449,00","30.532,05"
2016-08-30,Autogiro SBAB,,"-1.449,00","31.981,05"
2016-08-29,Kortköp 160826 ESPRESSO HOUSE 218,,"-33,00","33.430,05"
2016-08-29,Kortköp 160826 SL HAMMARBYHOJDEN SO,,"-100,00","33.463,05"
2016-08-29,Kortköp 160826 SYSTEMBOLAGET STOCKH,,"-137,50","33.563,05"
2016-08-29,Kortköp 160826 ONLINEPIZZA SE,,"-228,00","33.700,55"
2016-08-29,Kortköp 160826 EAT,,"-270,00","33.928,55"
2016-08-29,Kortköp 160825 DAIICHI BROMMA AB,,"-175,00","34.198,55"
2016-08-29,Autogiro FITNESS24,,"-199,00","34.373,55"
2016-08-29,Betalning BG 696-7525 Bonnier Publicat,,"-327,60","34.572,55"
2016-08-28,Swish inbetalning Annica Andersson,,"2.906,00","34.900,15"
2016-08-26,Kortköp 160824 BEST BIKES SVERIGE A,,"-79,00","31.994,15"
2016-08-26,Kortköp 160824 ESPRESSO HOUSE 218,,"-33,00","32.073,15"
2016-08-26,Kortköp 160824 ICA SUPERMARKET BROM,,"-197,50","32.106,15"
2016-08-26,Kortköp 160824 PIZZERIA MILANO,,"-89,00","32.303,65"
2016-08-26,Kortköp 160823 DAIICHI BROMMA AB,,"-85,00","32.392,65"
2016-08-25,Kortköp 160823 ICA SUPERMARKET BROM,,"-36,80","32.477,65"
2016-08-25,Kortköp 160823 APOTEKET DUVAN,,"-79,00","32.514,45"
2016-08-25,Lön,,"31.556,00","32.593,45"
2016-08-24,Kortköp 160822 ICA SUPERMARKET BROM,,"-159,75","1.037,45"
2016-08-24,Kortköp 160822 ICA SUPERMARKET BROM,,"-185,00","1.197,20"
2016-08-24,Kortköp 160822 BARISTASHOPEN SE,,"-678,00","1.382,20"
2016-08-23,Kortköp 160821 WWW VIAPLAY SE,,"-199,00","2.060,20"
2016-08-23,Kortköp 160821 ADOBE  PHOTOGPHY PLA,,"-107,50","2.259,20"
2016-08-22,Överföring 3065 20 44522,,"1.000,00","2.366,70"
2016-08-22,Kortköp 160819 ESPRESSO HOUSE 218,,"-33,00","1.366,70"
2016-08-22,Kortköp 160819 SL HOTORGET SODRA T,,"-100,00","1.399,70"
2016-08-22,Kortköp 160819 PIZZERIA MILANO,,"-114,00","1.499,70"
2016-08-22,Kortköp 160819 BROD OCH SALT MOOD,,"-331,00","1.613,70"
2016-08-22,Kortköp 160818 UFC TV,,"-77,12","1.944,70"
2016-08-22,Kortköp 160820 ICA SUPERMARKET BROM,,"-105,18","2.021,82"
2016-08-22,Kortköp 160820 ICA SUPERMARKET BROM,,"-236,45","2.127,00"
2016-08-22,Kortköp 160819 BUN MEAT BUN SODERHA,,"-110,00","2.363,45"
2016-08-22,Överföring 3065 20 44522,,"1.000,00","2.473,45"
2016-08-22,Kortköp 160818 ESPRESSO HOUSE 218,,"-33,00","1.473,45"
2016-08-22,Kortköp 160818 ICA SUPERMARKET BROM,,"-19,90","1.506,45"
2016-08-19,Kortköp 160817 BÖNOR O BLAD MOOD,,"-200,00","1.526,35"
2016-08-19,Kortköp 160817 ESPRESSO HOUSE 218,,"-33,00","1.726,35"
2016-08-19,Kortköp 160817 ITUNES COM BILL,,"-29,00","1.759,35"
