Datum,Transaktion,Kategori,Belopp,Saldo
2016-09-30,Reservation Kortköp ICA SUPERMARKET BR,,"-372,38",
2016-09-30,Reservation Kortköp Espresso House 218,,"-38,00",
2016-09-29,Reservation Kortköp Espresso House 218,,"-38,00",
2016-09-28,Reservation Kortköp BLIZZARD ENTERTAIN,,"-195,98",
2016-09-28,Reservation Kortköp BLIZZARD ENTERTAIN,,"-195,98",
2016-09-30,Swish inbetalning Annica Andersson,,"2.331,00","19.102,37"
2016-09-30,Kortköp 160928 ESPRESSO HOUSE 218,,"-39,00","16.771,37"
2016-09-30,Kortköp 160928 ESPRESSO HOUSE 218,,"-38,00","16.810,37"
2016-09-30,Kortköp 160928 SL BROMMAPLAN T BANA,,"-100,00","16.848,37"
2016-09-30,Kortköp 160928 ICA SUPERMARKET BROM,,"-193,19","16.948,37"
2016-09-30,Kortköp 160928 PIZZERIA MILANO,,"-99,00","17.141,56"
2016-09-30,Autogiro SBAB,,"-1.448,00","17.240,56"
2016-09-30,Autogiro SBAB,,"-1.448,00","18.688,56"
2016-09-30,Autogiro FOLKSAM,,"-318,00","20.136,56"
2016-09-29,Kortköp 160927 BARISTASHOPEN SE,,"-658,00","20.454,56"
2016-09-29,Autogiro FITNESS24,,"-199,00","21.112,56"
2016-09-27,Kortköp 160925 LA BELLA PIZZERIA,,"-175,00","21.311,56"
2016-09-27,Betalning PG 4176103-2 Fastum,,"-2.835,00","21.486,56"
2016-09-27,Omsättning lån 3065 82 24190,,"-6.700,00","24.321,56"
2016-09-26,Kortköp 160923 BÖNOR O BLAD MOOD,,"-200,00","31.021,56"
2016-09-26,Kortköp 160923 FROMAGERIET,,"-540,00","31.221,56"
2016-09-26,Kortköp 160923 ESPRESSO HOUSE 218,,"-39,00","31.761,56"
2016-09-26,Kortköp 160923 ICA SUPERMARKET BROM,,"-252,40","31.800,56"
2016-09-26,Kortköp 160923 WEBHALLEN,,"-239,00","32.052,96"
